mmsi,Port_Country,sc_vessel,vessel_type,dt_pos_utc_aoi,dt_pos_utc_nonaoi,diff_nonaoi_aoi,latitude_aoi,longitude_aoi,latitude_nonaoi,longitude_nonaoi,movement
525003161,Victoria_Malaysia,Indonesia,Other,2022-12-26 00:17:45,2022-12-25 20:11:45,14760,5.093095,115.105145,5.07666667,115.09666667,Masuk
525003161,Victoria_Malaysia,Indonesia,Other,2022-12-26 00:23:48,2022-12-25 20:11:45,15123,5.09166667,115.11,5.07666667,115.09666667,Masuk
525003759,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-10-04 22:11:08,2022-10-04 11:28:12,38576,1.17304167,103.98137333,1.16758,103.995965,Masuk
525003759,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-10-05 22:05:01,2022-10-04 11:28:12,124609,1.18946167,103.976535,1.16758,103.995965,Masuk
525005398,Johor_Malaysia,Indonesia,Cargo,2022-09-11 07:44:27,2022-09-11 07:08:24,2163,1.239175,104.06235833,1.22929167,103.95452667,Masuk
525009119,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-07-08 11:22:33,2022-07-08 03:04:19,29894,1.175,103.97833333,1.16499,103.99808,Masuk
525009119,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-07-08 11:22:33,2022-07-07 17:34:37,64076,1.175,103.97833333,1.164995,103.99806667,Masuk
525012284,Khawr Fakkan_United Arab Emirates,Indonesia,Tanker,2022-04-15 21:07:22,2022-01-12 23:44:49,8025753,25.19871667,56.56095,25.15548333,56.56606667,Masuk
525012284,Khawr Fakkan_United Arab Emirates,Indonesia,Tanker,2022-04-15 21:07:22,2022-01-12 11:17:49,8070573,25.19871667,56.56095,25.15553333,56.56536667,Masuk
525012370,Jurong Island_Singapore,Indonesia,Cargo,2022-03-29 14:44:24,2022-03-29 11:24:15,12009,1.20911167,103.67772833,1.10833333,103.53166667,Masuk
525012370,Jurong Island_Singapore,Indonesia,Cargo,2022-03-29 21:15:10,2022-03-29 11:24:15,35455,1.30333333,103.71666667,1.10833333,103.53166667,Masuk
525013040,Pulau Bukom_Singapore,Indonesia,Cargo,2022-09-20 01:36:02,2022-09-20 00:05:06,5456,1.11525,103.75456667,1.08608333,103.5656,Masuk
525013040,Pulau Bukom_Singapore,Indonesia,Cargo,2022-09-20 01:36:02,2022-06-10 19:59:18,8746604,1.11525,103.75456667,1.18485,103.96478333,Masuk
525015472,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-10-27 10:10:36,2022-08-13 15:27:35,6460981,1.041485,103.68759833,1.16500833,103.99803333,Masuk
525015472,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-10-27 21:29:41,2022-08-13 15:27:35,6501726,1.16503667,103.99675333,1.16500833,103.99803333,Masuk
525015965,Serangoon Harbor_Singapore,Indonesia,Cargo,2022-03-07 11:55:36,2022-02-24 23:27:05,908911,1.21886833,104.12994167,1.19932833,104.00207833,Masuk
525015965,Serangoon Harbor_Singapore,Indonesia,Cargo,2022-05-19 20:08:40,2022-04-18 17:06:34,2689326,1.20103667,103.99447,1.19277,103.99731833,Masuk
525018461,Tanjung Pelepas_Malaysia,Indonesia,Cargo,2022-09-06 14:16:41,2022-08-21 02:07:00,1426181,1.28657333,103.73490167,1.149295,103.56256833,Masuk
525020024,Pulau Bukom_Singapore,Indonesia,Dredging,2022-07-21 06:45:58,2022-07-21 01:45:24,18034,1.13954,103.69543667,1.255,103.97,Masuk
525020024,Tanjung Pelepas_Malaysia,Indonesia,Dredging,2022-08-02 22:33:16,2022-08-02 20:34:11,7145,1.15712833,103.42110833,1.14333333,103.355,Masuk
525020024,Tanjung Pelepas_Malaysia,Indonesia,Dredging,2022-06-23 19:04:18,2022-06-21 10:29:13,203705,1.16333333,103.415,1.150765,103.67865667,Masuk
